EVM chunk MIL epoch history

epoch 1/1 train_loss=1.096028 valid_loss=0.695386 micro_f1=0.492174 macro_f1=0.220886 predicted_positive_total=1018 max_memory_allocated_mb=3490.99 max_memory_reserved_mb=3796.00
per_label_precision: [0.488372, 0.744141, 0.374269, 0.343643, 0.0, 0.0, 0.0, 0.0]
per_label_recall: [0.081712, 1.0, 0.268908, 0.699301, 0.0, 0.0, 0.0, 0.0]
per_label_accuracy: [0.496094, 0.744141, 0.451172, 0.542969, 0.833984, 0.972656, 0.974609, 0.703125]
per_label_number_vulnerability: [257, 381, 238, 143, 85, 13, 13, 152]
per_label_f1: [0.14, 0.853303, 0.312958, 0.460829, 0.0, 0.0, 0.0, 0.0]
threshold=0.05: micro_f1=0.523543 macro_f1=0.423483 predicted_positive_total=3539
threshold=0.1: micro_f1=0.532638 macro_f1=0.379511 predicted_positive_total=2747
threshold=0.15: micro_f1=0.537841 macro_f1=0.336173 predicted_positive_total=2563
threshold=0.2: micro_f1=0.559087 macro_f1=0.332658 predicted_positive_total=2399
threshold=0.25: micro_f1=0.587620 macro_f1=0.332419 predicted_positive_total=2159
threshold=0.3: micro_f1=0.571250 macro_f1=0.315265 predicted_positive_total=1925
threshold=0.35: micro_f1=0.566633 macro_f1=0.303419 predicted_positive_total=1697
threshold=0.4: micro_f1=0.539787 macro_f1=0.272622 predicted_positive_total=1445
threshold=0.45: micro_f1=0.505916 macro_f1=0.241517 predicted_positive_total=1169
threshold=0.5: micro_f1=0.492174 macro_f1=0.220886 predicted_positive_total=1018
threshold=0.55: micro_f1=0.474592 macro_f1=0.201140 predicted_positive_total=922
threshold=0.6: micro_f1=0.442557 macro_f1=0.162401 predicted_positive_total=720
threshold=0.65: micro_f1=0.424893 macro_f1=0.124983 predicted_positive_total=582
threshold=0.7: micro_f1=0.425579 macro_f1=0.114021 predicted_positive_total=532
threshold=0.75: micro_f1=0.424276 macro_f1=0.106663 predicted_positive_total=514
threshold=0.8: micro_f1=0.424749 macro_f1=0.106663 predicted_positive_total=512
threshold=0.85: micro_f1=0.424749 macro_f1=0.106663 predicted_positive_total=512
threshold=0.9: micro_f1=0.417323 macro_f1=0.105758 predicted_positive_total=496
threshold=0.95: micro_f1=0.264272 macro_f1=0.078267 predicted_positive_total=277
